price;miles;year;make;model;body_type;fuel_type;transmission;doors;exterior_color;insurance_group;engine_size;co2_emission;make_label;model_label;exterior_color_label;fuel_type_label;transmission_label;body_type_label
5000;116659;2011;Volkswagen;Golf;Hatchback;Diesel;Manual;3;Blue;16;1.6;107;29;62;2;0;1;4
8500;91617;2013;Mercedes-Benz;CLA-Class;Coupe;Petrol;Manual;4;Red;20;1.6;130;16;33;10;2;1;2
18900;32000;2017;Land Rover;Range Rover Evoque;SUV;Diesel;Manual;5;Red;28;2.0;113;12;106;10;0;1;7
18900;7117;2019;Audi;A3;Hatchback;Petrol;Manual;5;White;21;1.0;135;1;13;12;2;1;4
11900;18600;2018;Nissan;Qashqai;SUV;Petrol;Manual;5;Blue;17;1.2;129;19;100;2;2;1;7
21500;31800;2018;Land Rover;Range Rover Evoque;SUV;Diesel;Manual;5;White;30;2.0;154;12;106;12;0;1;7
8900;11222;2019;Fiat;500;Hatchback;Petrol;Manual;3;Green;8;1.2;108;5;9;6;2;1;4
9900;38500;2018;Hyundai;i20;Hatchback;Petrol;Automatic;5;Black;9;1.4;143;8;140;1;2;0;4
9600;47500;2017;Toyota;Yaris;Hatchback;Hybrid Petrol/Electric;Automatic;5;Grey;8;1.5;75;27;136;7;1;0;4
31900;12400;2019;Land Rover;Range Rover Evoque;SUV;Diesel;Manual;5;White;30;2.0;170;12;106;12;0;1;7
16500;300;2020;Renault;Kadjar;SUV;Petrol;Manual;5;White;21;1.3;145;22;75;12;2;1;7
5600;40000;2011;Ford;Fiesta;Hatchback;Petrol;Automatic;5;Grey;10;1.4;154;6;54;7;2;0;4
7600;45000;2016;Volkswagen;Polo;Hatchback;Petrol;Manual;3;Red;15;1.2;107;29;97;10;2;1;4
24900;2360;2020;BMW;3 Series;Saloon;Diesel;Automatic;4;White;28;2.0;132;2;5;12;0;0;8
18600;100;2020;Audi;A1;Hatchback;Petrol;Manual;5;Black;16;1.0;125;1;12;1;2;1;4
16500;21400;2018;BMW;2 Series;Coupe;Diesel;Manual;2;White;26;2.0;120;2;2;12;0;1;2
7900;38500;2016;Renault;Captur;SUV;Diesel;Manual;5;Black;12;1.5;95;22;35;1;0;1;7
13600;52000;2017;Toyota;C-HR;SUV;Petrol;Manual;5;Blue;16;1.2;136;27;26;2;2;1;7
3495;62000;2013;Peugeot;308;Hatchback;Petrol;Manual;5;White;10;1.4;139;20;6;12;2;1;4
1695;62000;2010;Chevrolet;Spark;Hatchback;Petrol;Manual;5;Blue;3;1.0;119;3;117;2;2;1;4
1695;111000;2010;Vauxhall;Corsa;Hatchback;Petrol;Manual;5;Black;6;1.2;124;28;43;1;2;1;4
4995;94000;2012;Volkswagen;Golf;Hatchback;Diesel;Manual;5;White;14;1.6;107;29;62;12;0;1;4
15000;71000;2010;Land Rover;Range Rover Sport;SUV;Diesel;Automatic;5;Black;49;3.6;294;12;107;1;0;0;7
62995;21000;2018;Mercedes-Benz;GLS-Class;SUV;Petrol;Automatic;5;White;50;5.5;288;16;60;12;2;0;7
7995;87000;2016;Mini;Hatch;Hatchback;Petrol;Automatic;5;Grey;18;1.5;111;17;66;7;2;0;4
16995;32000;2018;Volkswagen;Passat;Estate;Diesel;Automatic;5;Grey;19;2.0;117;29;95;7;0;0;3
46995;12000;2016;Porsche;Macan;SUV;Petrol;Automatic;5;White;44;3.0;215;21;82;12;2;0;7
31995;46000;2016;Porsche;Macan;SUV;Diesel;Automatic;5;Black;39;3.0;159;21;82;1;0;0;7
17495;49000;2015;BMW;2 Series;Coupe;Petrol;Automatic;2;Blue;38;3.0;176;2;2;2;2;0;2
5995;140000;2016;Mini;Hatch;Hatchback;Petrol;Automatic;5;Silver;18;1.5;111;17;66;11;2;0;4
35995;21000;2015;BMW;M6;Convertible;Petrol;Automatic;2;Blue;50;4.4;239;2;79;2;2;0;1
17500;8000;2019;Mini;Clubman;Estate;Petrol;Automatic;6;Silver;19;1.5;130;17;40;11;2;0;3
7995;92000;2016;Mini;Hatch;Hatchback;Petrol;Automatic;5;Grey;18;1.5;111;17;66;7;2;0;4
6695;116000;2016;Mini;Hatch;Hatchback;Petrol;Automatic;5;Red;18;1.5;111;17;66;10;2;0;4
19995;19000;2016;Mini;Cooper;Convertible;Petrol;Automatic;2;Black;36;2.0;138;17;41;1;2;0;1
8995;40000;2015;Mini;Hatch;Hatchback;Petrol;Manual;5;Blue;18;1.5;109;17;66;2;2;1;4
7935;46680;2014;Audi;A1;Hatchback;Petrol;Manual;3;Black;33;1.4;124;1;12;1;2;1;4
34995;28000;2018;BMW;X5;SUV;Diesel;Automatic;5;White;42;3.0;183;2;132;12;0;0;7
9990;108000;2008;Volkswagen;Golf;Hatchback;Petrol;Automatic;5;Blue;36;3.2;233;29;62;2;2;0;4
3490;92000;2007;Volkswagen;Golf;Hatchback;Diesel;Automatic;5;Black;27;2.0;159;29;62;1;0;0;4
5690;112000;2007;Audi;TT;Coupe;Petrol;Automatic;2;Grey;38;3.2;224;1;122;7;2;0;2
9990;66000;2007;Land Rover;Range Rover Sport;SUV;Diesel;Automatic;5;Blue;40;3.6;294;12;107;2;0;0;7
6490;80000;2004;Honda;Civic;Hatchback;Petrol;Manual;3;Red;34;2.0;212;7;38;10;2;1;4
6990;140000;2007;BMW;5 Series;Saloon;Diesel;Automatic;4;Black;45;3.0;178;2;8;1;0;0;8
1490;87000;2006;Hyundai;Coupe;Coupe;Petrol;Manual;3;Silver;23;2.0;193;8;45;11;2;1;2
1990;78000;2010;Toyota;Aygo;Hatchback;Petrol;Manual;5;Blue;3;1.0;106;27;23;2;2;1;4
12490;95000;2016;BMW;4 Series;Hatchback;Diesel;Automatic;5;White;23;2.0;112;2;7;12;0;0;4
5450;56925;2013;Citroen;DS4;Hatchback;Diesel;Manual;5;Silver;17;1.6;122;4;47;11;0;1;4
5250;15945;2013;Vauxhall;Corsa;Hatchback;Petrol;Manual;3;Red;6;1.2;129;28;43;10;2;1;4
11950;16202;2017;Suzuki;Vitara;SUV;Petrol;Manual;5;Red;13;1.6;123;26;129;10;2;1;7
